"","code_muni","bioma"
"1",1100015,"Amazonia"
"2",1100023,"Amazonia"
"3",1100031,"Amazonia"
"4",1100049,"Amazonia"
"5",1100056,"Amazonia"
"6",1100064,"Amazonia"
"7",1100072,"Amazonia"
"8",1100080,"Amazonia"
"9",1100098,"Amazonia"
"10",1100106,"Amazonia"
"11",1100114,"Amazonia"
"12",1100122,"Amazonia"
"13",1100130,"Amazonia"
"14",1100148,"Amazonia"
"15",1100155,"Amazonia"
"16",1100189,"Amazonia"
"17",1100205,"Amazonia"
"18",1100254,"Amazonia"
"19",1100262,"Amazonia"
"20",1100288,"Amazonia"
"21",1100296,"Amazonia"
"22",1100304,"Amazonia"
"23",1100320,"Amazonia"
"24",1100338,"Amazonia"
"25",1100346,"Amazonia"
"26",1100379,"Amazonia"
"27",1100403,"Amazonia"
"28",1100452,"Amazonia"
"29",1100502,"Amazonia"
"30",1100601,"Amazonia"
"31",1100700,"Amazonia"
"32",1100809,"Amazonia"
"33",1100908,"Amazonia"
"34",1100924,"Amazonia"
"35",1100940,"Amazonia"
"36",1101005,"Amazonia"
"37",1101104,"Amazonia"
"38",1101203,"Amazonia"
"39",1101302,"Amazonia"
"40",1101401,"Amazonia"
"41",1101435,"Amazonia"
"42",1101450,"Amazonia"
"43",1101468,"Amazonia"
"44",1101476,"Amazonia"
"45",1101484,"Amazonia"
"46",1101492,"Amazonia"
"47",1101500,"Amazonia"
"48",1101559,"Amazonia"
"49",1101609,"Amazonia"
"50",1101708,"Amazonia"
"51",1101757,"Amazonia"
"52",1101807,"Amazonia"
"53",1200013,"Amazonia"
"54",1200054,"Amazonia"
"55",1200104,"Amazonia"
"56",1200138,"Amazonia"
"57",1200179,"Amazonia"
"58",1200203,"Amazonia"
"59",1200252,"Amazonia"
"60",1200302,"Amazonia"
"61",1200328,"Amazonia"
"62",1200336,"Amazonia"
"63",1200344,"Amazonia"
"64",1200351,"Amazonia"
"65",1200385,"Amazonia"
"66",1200393,"Amazonia"
"67",1200401,"Amazonia"
"68",1200427,"Amazonia"
"69",1200435,"Amazonia"
"70",1200450,"Amazonia"
"71",1200500,"Amazonia"
"72",1200609,"Amazonia"
"73",1200708,"Amazonia"
"74",1200807,"Amazonia"
"75",1300029,"Amazonia"
"76",1300060,"Amazonia"
"77",1300086,"Amazonia"
"78",1300102,"Amazonia"
"79",1300144,"Amazonia"
"80",1300201,"Amazonia"
"81",1300300,"Amazonia"
"82",1300409,"Amazonia"
"83",1300508,"Amazonia"
"84",1300607,"Amazonia"
"85",1300631,"Amazonia"
"86",1300680,"Amazonia"
"87",1300706,"Amazonia"
"88",1300805,"Amazonia"
"89",1300839,"Amazonia"
"90",1300904,"Amazonia"
"91",1301001,"Amazonia"
"92",1301100,"Amazonia"
"93",1301159,"Amazonia"
"94",1301209,"Amazonia"
"95",1301308,"Amazonia"
"96",1301407,"Amazonia"
"97",1301506,"Amazonia"
"98",1301605,"Amazonia"
"99",1301654,"Amazonia"
"100",1301704,"Amazonia"
"101",1301803,"Amazonia"
"102",1301852,"Amazonia"
"103",1301902,"Amazonia"
"104",1301951,"Amazonia"
"105",1302009,"Amazonia"
"106",1302108,"Amazonia"
"107",1302207,"Amazonia"
"108",1302306,"Amazonia"
"109",1302405,"Amazonia"
"110",1302504,"Amazonia"
"111",1302553,"Amazonia"
"112",1302603,"Amazonia"
"113",1302702,"Amazonia"
"114",1302801,"Amazonia"
"115",1302900,"Amazonia"
"116",1303007,"Amazonia"
"117",1303106,"Amazonia"
"118",1303205,"Amazonia"
"119",1303304,"Amazonia"
"120",1303403,"Amazonia"
"121",1303502,"Amazonia"
"122",1303536,"Amazonia"
"123",1303569,"Amazonia"
"124",1303601,"Amazonia"
"125",1303700,"Amazonia"
"126",1303809,"Amazonia"
"127",1303908,"Amazonia"
"128",1303957,"Amazonia"
"129",1304005,"Amazonia"
"130",1304062,"Amazonia"
"131",1304104,"Amazonia"
"132",1304203,"Amazonia"
"133",1304237,"Amazonia"
"134",1304260,"Amazonia"
"135",1304302,"Amazonia"
"136",1304401,"Amazonia"
"137",1400027,"Amazonia"
"138",1400050,"Amazonia"
"139",1400100,"Amazonia"
"140",1400159,"Amazonia"
"141",1400175,"Amazonia"
"142",1400209,"Amazonia"
"143",1400233,"Amazonia"
"144",1400282,"Amazonia"
"145",1400308,"Amazonia"
"146",1400407,"Amazonia"
"147",1400456,"Amazonia"
"148",1400472,"Amazonia"
"149",1400506,"Amazonia"
"150",1400605,"Amazonia"
"151",1400704,"Amazonia"
"152",1500107,"Amazonia"
"153",1500131,"Amazonia"
"154",1500206,"Amazonia"
"155",1500305,"Amazonia"
"156",1500347,"Amazonia"
"157",1500404,"Amazonia"
"158",1500503,"Amazonia"
"159",1500602,"Amazonia"
"160",1500701,"Amazonia"
"161",1500800,"Amazonia"
"162",1500859,"Amazonia"
"163",1500909,"Amazonia"
"164",1500958,"Amazonia"
"165",1501006,"Amazonia"
"166",1501105,"Amazonia"
"167",1501204,"Amazonia"
"168",1501253,"Amazonia"
"169",1501303,"Amazonia"
"170",1501402,"Amazonia"
"171",1501451,"Amazonia"
"172",1501501,"Amazonia"
"173",1501576,"Amazonia"
"174",1501600,"Amazonia"
"175",1501709,"Amazonia"
"176",1501725,"Amazonia"
"177",1501758,"Amazonia"
"178",1501782,"Amazonia"
"179",1501808,"Amazonia"
"180",1501907,"Amazonia"
"181",1501956,"Amazonia"
"182",1502004,"Amazonia"
"183",1502103,"Amazonia"
"184",1502152,"Amazonia"
"185",1502202,"Amazonia"
"186",1502301,"Amazonia"
"187",1502400,"Amazonia"
"188",1502509,"Amazonia"
"189",1502608,"Amazonia"
"190",1502707,"Amazonia"
"191",1502756,"Amazonia"
"192",1502764,"Amazonia"
"193",1502772,"Amazonia"
"194",1502806,"Amazonia"
"195",1502855,"Amazonia"
"196",1502905,"Amazonia"
"197",1502939,"Amazonia"
"198",1502954,"Amazonia"
"199",1503002,"Amazonia"
"200",1503044,"Amazonia"
"201",1503077,"Amazonia"
"202",1503093,"Amazonia"
"203",1503101,"Amazonia"
"204",1503200,"Amazonia"
"205",1503309,"Amazonia"
"206",1503408,"Amazonia"
"207",1503457,"Amazonia"
"208",1503507,"Amazonia"
"209",1503606,"Amazonia"
"210",1503705,"Amazonia"
"211",1503754,"Amazonia"
"212",1503804,"Amazonia"
"213",1503903,"Amazonia"
"214",1504000,"Amazonia"
"215",1504059,"Amazonia"
"216",1504109,"Amazonia"
"217",1504208,"Amazonia"
"218",1504307,"Amazonia"
"219",1504406,"Amazonia"
"220",1504422,"Amazonia"
"221",1504455,"Amazonia"
"222",1504505,"Amazonia"
"223",1504604,"Amazonia"
"224",1504703,"Amazonia"
"225",1504752,"Amazonia"
"226",1504802,"Amazonia"
"227",1504901,"Amazonia"
"228",1504950,"Amazonia"
"229",1504976,"Amazonia"
"230",1505007,"Amazonia"
"231",1505031,"Amazonia"
"232",1505064,"Amazonia"
"233",1505106,"Amazonia"
"234",1505205,"Amazonia"
"235",1505304,"Amazonia"
"236",1505403,"Amazonia"
"237",1505437,"Amazonia"
"238",1505486,"Amazonia"
"239",1505494,"Amazonia"
"240",1505502,"Amazonia"
"241",1505536,"Amazonia"
"242",1505551,"Amazonia"
"243",1505601,"Amazonia"
"244",1505635,"Amazonia"
"245",1505650,"Amazonia"
"246",1505700,"Amazonia"
"247",1505809,"Amazonia"
"248",1505908,"Amazonia"
"249",1506005,"Amazonia"
"250",1506104,"Amazonia"
"251",1506112,"Amazonia"
"252",1506138,"Amazonia"
"253",1506161,"Amazonia"
"254",1506187,"Amazonia"
"255",1506195,"Amazonia"
"256",1506203,"Amazonia"
"257",1506302,"Amazonia"
"258",1506351,"Amazonia"
"259",1506401,"Amazonia"
"260",1506500,"Amazonia"
"261",1506559,"Amazonia"
"262",1506583,"Amazonia"
"263",1506609,"Amazonia"
"264",1506708,"Amazonia"
"265",1506807,"Amazonia"
"266",1506906,"Amazonia"
"267",1507003,"Amazonia"
"268",1507102,"Amazonia"
"269",1507151,"Amazonia"
"270",1507201,"Amazonia"
"271",1507300,"Amazonia"
"272",1507409,"Amazonia"
"273",1507458,"Amazonia"
"274",1507466,"Amazonia"
"275",1507474,"Amazonia"
"276",1507508,"Amazonia"
"277",1507607,"Amazonia"
"278",1507706,"Amazonia"
"279",1507755,"Amazonia"
"280",1507805,"Amazonia"
"281",1507904,"Amazonia"
"282",1507953,"Amazonia"
"283",1507961,"Amazonia"
"284",1507979,"Amazonia"
"285",1508001,"Amazonia"
"286",1508035,"Amazonia"
"287",1508050,"Amazonia"
"288",1508084,"Amazonia"
"289",1508100,"Amazonia"
"290",1508126,"Amazonia"
"291",1508159,"Amazonia"
"292",1508209,"Amazonia"
"293",1508308,"Amazonia"
"294",1508357,"Amazonia"
"295",1508407,"Amazonia"
"296",1600055,"Amazonia"
"297",1600105,"Amazonia"
"298",1600154,"Amazonia"
"299",1600204,"Amazonia"
"300",1600212,"Amazonia"
"301",1600238,"Amazonia"
"302",1600253,"Amazonia"
"303",1600279,"Amazonia"
"304",1600303,"Amazonia"
"305",1600402,"Amazonia"
"306",1600501,"Amazonia"
"307",1600535,"Amazonia"
"308",1600550,"Amazonia"
"309",1600600,"Amazonia"
"310",1600709,"Amazonia"
"311",1600808,"Amazonia"
"312",1701002,"Amazonia"
"313",1701309,"Amazonia"
"314",1702109,"Amazonia"
"315",1702158,"Amazonia"
"316",1702307,"Amazonia"
"317",1702554,"Amazonia"
"318",1703057,"Amazonia"
"319",1703206,"Amazonia"
"320",1703800,"Amazonia"
"321",1703883,"Amazonia"
"322",1703891,"Amazonia"
"323",1707405,"Amazonia"
"324",1711100,"Amazonia"
"325",1713957,"Amazonia"
"326",1716307,"Amazonia"
"327",1716653,"Amazonia"
"328",1716703,"Amazonia"
"329",1717206,"Amazonia"
"330",1718550,"Amazonia"
"331",1718808,"Amazonia"
"332",1718865,"Amazonia"
"333",1720309,"Amazonia"
"334",1722107,"Amazonia"
"335",2100055,"Amazonia"
"336",2100204,"Amazonia"
"337",2100402,"Amazonia"
"338",2100477,"Amazonia"
"339",2100550,"Amazonia"
"340",2100600,"Amazonia"
"341",2100709,"Amazonia"
"342",2100832,"Amazonia"
"343",2100873,"Amazonia"
"344",2100956,"Amazonia"
"345",2101004,"Amazonia"
"346",2101103,"Amazonia"
"347",2101202,"Amazonia"
"348",2101251,"Amazonia"
"349",2101301,"Amazonia"
"350",2101350,"Amazonia"
"351",2101772,"Amazonia"
"352",2101905,"Amazonia"
"353",2101970,"Amazonia"
"354",2102002,"Amazonia"
"355",2102036,"Amazonia"
"356",2102077,"Amazonia"
"357",2102150,"Amazonia"
"358",2102325,"Amazonia"
"359",2102408,"Amazonia"
"360",2102507,"Amazonia"
"361",2102606,"Amazonia"
"362",2102903,"Amazonia"
"363",2103109,"Amazonia"
"364",2103125,"Amazonia"
"365",2103158,"Amazonia"
"366",2103174,"Amazonia"
"367",2103257,"Amazonia"
"368",2103554,"Amazonia"
"369",2103703,"Amazonia"
"370",2104305,"Amazonia"
"371",2104651,"Amazonia"
"372",2104677,"Amazonia"
"373",2104909,"Amazonia"
"374",2105104,"Amazonia"
"375",2105153,"Amazonia"
"376",2105427,"Amazonia"
"377",2105500,"Amazonia"
"378",2105658,"Amazonia"
"379",2105906,"Amazonia"
"380",2106201,"Amazonia"
"381",2106326,"Amazonia"
"382",2106375,"Amazonia"
"383",2106508,"Amazonia"
"384",2106805,"Amazonia"
"385",2106904,"Amazonia"
"386",2107357,"Amazonia"
"387",2107407,"Amazonia"
"388",2107456,"Amazonia"
"389",2107506,"Amazonia"
"390",2107605,"Amazonia"
"391",2108108,"Amazonia"
"392",2108256,"Amazonia"
"393",2108306,"Amazonia"
"394",2108405,"Amazonia"
"395",2108504,"Amazonia"
"396",2108603,"Amazonia"
"397",2108702,"Amazonia"
"398",2109056,"Amazonia"
"399",2109205,"Amazonia"
"400",2109239,"Amazonia"
"401",2109270,"Amazonia"
"402",2109452,"Amazonia"
"403",2109601,"Amazonia"
"404",2109809,"Amazonia"
"405",2109908,"Amazonia"
"406",2110005,"Amazonia"
"407",2110039,"Amazonia"
"408",2110203,"Amazonia"
"409",2110500,"Amazonia"
"410",2110856,"Amazonia"
"411",2111003,"Amazonia"
"412",2111029,"Amazonia"
"413",2111201,"Amazonia"
"414",2111300,"Amazonia"
"415",2111532,"Amazonia"
"416",2111706,"Amazonia"
"417",2111722,"Amazonia"
"418",2111763,"Amazonia"
"419",2111789,"Amazonia"
"420",2112274,"Amazonia"
"421",2112407,"Amazonia"
"422",2112456,"Amazonia"
"423",2112803,"Amazonia"
"424",2112852,"Amazonia"
"425",2112902,"Amazonia"
"426",2113009,"Amazonia"
"427",2114007,"Amazonia"
"428",5100250,"Amazonia"
"429",5100359,"Amazonia"
"430",5100805,"Amazonia"
"431",5101258,"Amazonia"
"432",5101308,"Amazonia"
"433",5101407,"Amazonia"
"434",5101704,"Amazonia"
"435",5101852,"Amazonia"
"436",5101902,"Amazonia"
"437",5102694,"Amazonia"
"438",5102793,"Amazonia"
"439",5102850,"Amazonia"
"440",5103056,"Amazonia"
"441",5103205,"Amazonia"
"442",5103254,"Amazonia"
"443",5103353,"Amazonia"
"444",5103361,"Amazonia"
"445",5103379,"Amazonia"
"446",5103437,"Amazonia"
"447",5103452,"Amazonia"
"448",5103700,"Amazonia"
"449",5103809,"Amazonia"
"450",5103858,"Amazonia"
"451",5103957,"Amazonia"
"452",5104104,"Amazonia"
"453",5104500,"Amazonia"
"454",5104526,"Amazonia"
"455",5104542,"Amazonia"
"456",5104559,"Amazonia"
"457",5105002,"Amazonia"
"458",5105101,"Amazonia"
"459",5105150,"Amazonia"
"460",5105176,"Amazonia"
"461",5105234,"Amazonia"
"462",5105507,"Amazonia"
"463",5105580,"Amazonia"
"464",5105606,"Amazonia"
"465",5105622,"Amazonia"
"466",5106000,"Amazonia"
"467",5106158,"Amazonia"
"468",5106182,"Amazonia"
"469",5106190,"Amazonia"
"470",5106216,"Amazonia"
"471",5106232,"Amazonia"
"472",5106240,"Amazonia"
"473",5106265,"Amazonia"
"474",5106273,"Amazonia"
"475",5106299,"Amazonia"
"476",5106422,"Amazonia"
"477",5106752,"Amazonia"
"478",5106778,"Amazonia"
"479",5106802,"Amazonia"
"480",5106828,"Amazonia"
"481",5107065,"Amazonia"
"482",5107107,"Amazonia"
"483",5107206,"Amazonia"
"484",5107248,"Amazonia"
"485",5107263,"Amazonia"
"486",5107305,"Amazonia"
"487",5107354,"Amazonia"
"488",5107578,"Amazonia"
"489",5107743,"Amazonia"
"490",5107750,"Amazonia"
"491",5107776,"Amazonia"
"492",5107859,"Amazonia"
"493",5107909,"Amazonia"
"494",5107941,"Amazonia"
"495",5108006,"Amazonia"
"496",5108055,"Amazonia"
"497",5108303,"Amazonia"
"498",5108501,"Amazonia"
"499",5108600,"Amazonia"
"500",5108808,"Amazonia"
"501",5108857,"Amazonia"
"502",5108907,"Amazonia"
"503",5108956,"Amazonia"
